lji[ 240]:= c029, c05d, c43e, c43e, c43e, 0000
lji[ 241]:= cafc, cbe4, c43e, c43e, c43e, 0000
lji[ 242]:= bd59, bd23, c43e, c43e, c43e, 0000
lji[ 243]:= 483c, 4848, c43e, c43e, c43e, 0000
lji[ 244]:= c5f1, c5e4, c43e, c43e, c43e, 0000
lji[ 245]:= 44c1, 4552, c43e, c43e, c43e, 0000
lji[ 246]:= 47e0, 47e8, c43e, c43e, c43e, 0000
lji[ 247]:= 45cb, 45d6, c43e, c43e, c43e, 0000
lji[ 248]:= 3d59, 3acf, c43e, c43e, c43e, 0000
lji[ 249]:= c9f1, ca23, c43e, c43e, c43e, 0000
lji[ 250]:= 34c1, 366a, c43e, c43e, c43e, 0000
lji[ 251]:= c559, c431, c43e, c43e, c43e, 0000
lji[ 252]:= b722, b722, c43e, c43e, c43e, 0000
lji[ 253]:= 49b8, 49e9, c43e, c43e, c43e, 0000
lji[ 254]:= 48e7, 48e2, c43e, c43e, c43e, 0000
lji[ 255]:= c475, c474, c43e, c43e, c43e, 0000
lji[ 256]:= 4862, 4817, c43e, c43e, c43e, 0000
lji[ 257]:= c76e, c984, c43e, c43e, c43e, 0000
lji[ 258]:= c722, c714, c43e, c43e, c43e, 0000
lji[ 259]:= c7ba, c797, c43e, c43e, c43e, 0000
lji[ 260]:= 47e0, 47c0, c43e, c43e, c43e, 0000
lji[ 261]:= c722, c722, c43e, c43e, c43e, 0000
lji[ 262]:= c8ae, c8ba, c43e, c43e, c43e, 0000
lji[ 263]:= 3b22, 3ace, c43e, c43e, c43e, 0000
lji[ 264]:= 450d, 44fd, c43e, c43e, c43e, 0000
lji[ 265]:= ca9d, ca9d, c43e, c43e, c43e, 0000
lji[ 266]:= cbcd, cbcd, c43e, c43e, c43e, 0000
lji[ 267]:= 450d, 45e6, c43e, c43e, c43e, 0000
lji[ 268]:= 4888, 4967, c43e, c43e, c43e, 0000
lji[ 269]:= 3fba, 4081, c43e, c43e, c43e, 0000
lji[ 270]:= 496c, 4961, c43e, c43e, c43e, 0000
lji[ 271]:= c748, c71a, c43e, c43e, c43e, 0000
lji[ 272]:= 47e0, 47ec, c43e, c43e, c43e, 0000
lji[ 273]:= c1f1, c1b5, c43e, c43e, c43e, 0000
lji[ 274]:= c429, c429, c43e, c43e, c43e, 0000
lji[ 275]:= 497f, 4975, c43e, c43e, c43e, 0000
lji[ 276]:= 4bcd, 4bcd, c43e, c43e, c43e, 0000
lji[ 277]:= 45a5, 45f8, c43e, c43e, c43e, 0000
lji[ 278]:= 46b0, 46e3, c43e, c43e, c43e, 0000
lji[ 279]:= 3f22, 2fc0, c43e, c43e, c43e, 0000
lji[ 280]:= 4888, 4988, c43e, c43e, c43e, 0000
lji[ 281]:= c36e, c364, c43e, c43e, c43e, 0000
lji[ 282]:= 0000, 385f, c43e, c43e, c43e, 0000
lji[ 283]:= 4a77, 4a3f, c43e, c43e, c43e, 0000
lji[ 284]:= 3d59, 38c4, c43e, c43e, c43e, 0000
lji[ 285]:= 450d, 44fc, c43e, c43e, c43e, 0000
lji[ 286]:= c429, c4e6, c43e, c43e, c43e, 0000
lji[ 287]:= 45f1, 45f2, c43e, c43e, c43e, 0000
lji[ 288]:= 4559, 453b, c43e, c43e, c43e, 0000
lji[ 289]:= c90d, c8f5, c43e, c43e, c43e, 0000
lji[ 290]:= c7e0, c762, c43e, c43e, c43e, 0000
lji[ 291]:= 4a77, 4a94, c43e, c43e, c43e, 0000
lji[ 292]:= 4b0f, 4b67, c43e, c43e, c43e, 0000
lji[ 293]:= bfba, bd69, c43e, c43e, c43e, 0000
lji[ 294]:= 4888, 4888, c43e, c43e, c43e, 0000
lji[ 295]:= c2d6, bd58, c43e, c43e, c43e, 0000
lji[ 296]:= 4664, 4694, c43e, c43e, c43e, 0000
lji[ 297]:= c9b8, c9ba, c43e, c43e, c43e, 0000
lji[ 298]:= c533, c533, c43e, c43e, c43e, 0000
lji[ 299]:= 4794, 475e, c43e, c43e, c43e, 0000
lji[ 300]:= 46b0, 469d, c43e, c43e, c43e, 0000
lji[ 301]:= 4829, 482a, c43e, c43e, c43e, 0000
lji[ 302]:= 30c1, b221, c43e, c43e, c43e, 0000
lji[ 303]:= c63e, c61d, c43e, c43e, c43e, 0000
lji[ 304]:= 44e7, 44ef, c43e, c43e, c43e, 0000
lji[ 305]:= c4e7, c63e, c43e, c43e, c43e, 0000
lji[ 306]:= 0000, a6c0, c43e, c43e, c43e, 0000
lji[ 307]:= 44c1, 45c5, c43e, c43e, c43e, 0000
lji[ 308]:= c475, c473, c43e, c43e, c43e, 0000
lji[ 309]:= c8d4, c8bd, c43e, c43e, c43e, 0000
lji[ 310]:= c83c, c83c, c43e, c43e, c43e, 0000
lji[ 311]:= c6d6, c607, c43e, c43e, c43e, 0000
lji[ 312]:= 490d, 48ce, c43e, c43e, c43e, 0000
lji[ 313]:= ca51, c9f0, c43e, c43e, c43e, 0000
lji[ 314]:= b9f1, bc0c, c43e, c43e, c43e, 0000
lji[ 315]:= 4c59, 4c63, c43e, c43e, c43e, 0000
lji[ 316]:= bfba, c034, c43e, c43e, c43e, 0000
lji[ 317]:= 3c29, 39be, c43e, c43e, c43e, 0000
lji[ 318]:= 444f, 42b0, c43e, c43e, c43e, 0000
lji[ 319]:= c816, c827, c43e, c43e, c43e, 0000
lji[ 320]:= 457f, 457f, c43e, c43e, c43e, 0000
lji[ 321]:= be8a, bead, c43e, c43e, c43e, 0000
lji[ 322]:= 44c1, 43aa, c43e, c43e, c43e, 0000
lji[ 323]:= 484f, 48bc, c43e, c43e, c43e, 0000
lji[ 324]:= 449b, 458e, c43e, c43e, c43e, 0000
lji[ 325]:= c8c1, c8c5, c43e, c43e, c43e, 0000
lji[ 326]:= 48ae, 489c, c43e, c43e, c43e, 0000
lji[ 327]:= c664, c6a3, c43e, c43e, c43e, 0000
lji[ 328]:= 49f1, 4942, c43e, c43e, c43e, 0000
lji[ 329]:= b4c1, b2ca, c43e, c43e, c43e, 0000
lji[ 330]:= c89b, c91a, c43e, c43e, c43e, 0000
lji[ 331]:= c36e, c1f0, c43e, c43e, c43e, 0000
lji[ 332]:= 457f, 46e1, c43e, c43e, c43e, 0000
lji[ 333]:= 4618, 45b7, c43e, c43e, c43e, 0000
lji[ 334]:= 48c1, 489b, c43e, c43e, c43e, 0000
lji[ 335]:= 410d, 437a, c43e, c43e, c43e, 0000
lji[ 336]:= 4559, 4523, c43e, c43e, c43e, 0000
lji[ 337]:= c664, c66c, c43e, c43e, c43e, 0000
lji[ 338]:= c816, c816, c43e, c43e, c43e, 0000
lji[ 339]:= 476e, 4785, c43e, c43e, c43e, 0000
lji[ 340]:= c23e, c19c, c43e, c43e, c43e, 0000
lji[ 341]:= 48ae, 48bb, c43e, c43e, c43e, 0000
lji[ 342]:= 44c1, 447b, c43e, c43e, c43e, 0000
lji[ 343]:= c559, c58a, c43e, c43e, c43e, 0000
lji[ 344]:= bb22, bfa0, c43e, c43e, c43e, 0000
lji[ 345]:= 4429, 4426, c43e, c43e, c43e, 0000
lji[ 346]:= c403, c3de, c43e, c43e, c43e, 0000
lji[ 347]:= 45f1, 4608, c43e, c43e, c43e, 0000
lji[ 348]:= c1a5, c18e, c43e, c43e, c43e, 0000
lji[ 349]:= b4c1, b4c9, c43e, c43e, c43e, 0000
lji[ 350]:= 40c1, 408a, c43e, c43e, c43e, 0000
lji[ 351]:= 4475, 4472, c43e, c43e, c43e, 0000
lji[ 352]:= 496c, 4973, c43e, c43e, c43e, 0000
lji[ 353]:= b722, b5d2, c43e, c43e, c43e, 0000
lji[ 354]:= bd59, bd7e, c43e, c43e, c43e, 0000
lji[ 355]:= 4559, 4505, c43e, c43e, c43e, 0000
lji[ 356]:= 490d, 490d, c43e, c43e, c43e, 0000
lji[ 357]:= 3d59, 3e29, c43e, c43e, c43e, 0000
lji[ 358]:= c44f, c445, c43e, c43e, c43e, 0000
lji[ 359]:= c322, c31c, c43e, c43e, c43e, 0000
lji[ 360]:= 3e8a, 3e56, c43e, c43e, c43e, 0000
lji[ 361]:= c992, c994, c43e, c43e, c43e, 0000
lji[ 362]:= c0c1, c0bc, c43e, c43e, c43e, 0000
lji[ 363]:= c159, bb96, c43e, c43e, c43e, 0000
lji[ 364]:= 0000, b863, c43e, c43e, c43e, 0000
lji[ 365]:= 4a77, 4a7b, c43e, c43e, c43e, 0000
lji[ 366]:= cc3c, cc5f, c43e, c43e, c43e, 0000
lji[ 367]:= 4b0f, 4b00, c43e, c43e, c43e, 0000
lji[ 368]:= 46b0, 455b, c43e, c43e, c43e, 0000
lji[ 369]:= bf22, bf12, c43e, c43e, c43e, 0000
lji[ 370]:= ca05, ca20, c43e, c43e, c43e, 0000
lji[ 371]:= 4159, 40e2, c43e, c43e, c43e, 0000
lji[ 372]:= 449b, 459a, c43e, c43e, c43e, 0000
lji[ 373]:= 3c29, 3c29, c43e, c43e, c43e, 0000
lji[ 374]:= 4322, 446c, c43e, c43e, c43e, 0000
lji[ 375]:= c9a5, c98c, c43e, c43e, c43e, 0000
lji[ 376]:= 48d4, 48ce, c43e, c43e, c43e, 0000
lji[ 377]:= c4c1, c4c4, c43e, c43e, c43e, 0000
lji[ 378]:= 423e, 41ec, c43e, c43e, c43e, 0000
lji[ 379]:= 423e, 426b, c43e, c43e, c43e, 0000
lji[ 380]:= c10d, c098, c43e, c43e, c43e, 0000
lji[ 381]:= 4a77, 4b19, c43e, c43e, c43e, 0000
lji[ 382]:= 45a5, 4850, c43e, c43e, c43e, 0000
lji[ 383]:= ca3e, c8ad, c43e, c43e, c43e, 0000
lji[ 384]:= bc29, bc25, c43e, c43e, c43e, 0000
lji[ 385]:= bdf1, bdff, c43e, c43e, c43e, 0000
lji[ 386]:= 4618, 4618, c43e, c43e, c43e, 0000
lji[ 387]:= 4029, 3eb1, c43e, c43e, c43e, 0000
lji[ 388]:= 44c1, 44f2, c43e, c43e, c43e, 0000
lji[ 389]:= c403, c4d2, c43e, c43e, c43e, 0000
lji[ 390]:= 39f1, 39df, c43e, c43e, c43e, 0000
lji[ 391]:= bfba, c1b2, c43e, c43e, c43e, 0000
lji[ 392]:= 4992, 4996, c43e, c43e, c43e, 0000
lji[ 393]:= ca9d, cacb, c43e, c43e, c43e, 0000
lji[ 394]:= c946, c93f, c43e, c43e, c43e, 0000
lji[ 395]:= bd59, c02c, c43e, c43e, c43e, 0000
lji[ 396]:= c36e, c368, c43e, c43e, c43e, 0000
lji[ 397]:= 49f1, 49f1, c43e, c43e, c43e, 0000
lji[ 398]:= 46d6, 4673, c43e, c43e, c43e, 0000
lji[ 399]:= c5cb, c69f, c43e, c43e, c43e, 0000
lji[ 400]:= bb22, bb3e, c43e, c43e, c43e, 0000
lji[ 401]:= 3c29, 3c20, c43e, c43e, c43e, 0000
lji[ 402]:= 3df1, 4018, c43e, c43e, c43e, 0000
lji[ 403]:= 46d6, 46e9, c43e, c43e, c43e, 0000
lji[ 404]:= c075, c075, c43e, c43e, c43e, 0000
lji[ 405]:= c4c1, c4fc, c43e, c43e, c43e, 0000
lji[ 406]:= c829, c810, c43e, c43e, c43e, 0000
lji[ 407]:= 46d6, 4704, c43e, c43e, c43e, 0000
lji[ 408]:= 46b0, 475d, c43e, c43e, c43e, 0000
lji[ 409]:= c4c1, c494, c43e, c43e, c43e, 0000
lji[ 410]:= c3ba, c2b6, c43e, c43e, c43e, 0000
lji[ 411]:= 4c33, 4c46, c43e, c43e, c43e, 0000
lji[ 412]:= 4920, 48a4, c43e, c43e, c43e, 0000
lji[ 413]:= c9f1, c9f1, c43e, c43e, c43e, 0000
lji[ 414]:= c1f1, c25a, c43e, c43e, c43e, 0000
lji[ 415]:= bf22, b980, c43e, c43e, c43e, 0000
lji[ 416]:= b722, 2540, c43e, c43e, c43e, 0000
lji[ 417]:= 444f, 4442, c43e, c43e, c43e, 0000
