lji[ 263]:= 3b22, 3b22, 4c37, 4c2b, 4c40, 4d21
lji[ 264]:= 450d, 450d, 4c37, 4c2b, 4c40, 4d21
lji[ 265]:= ca9d, ca9d, 4c37, 4c2b, 4c40, 4d21
lji[ 266]:= cbcd, cbcd, 4c37, 4c2b, 4c40, 4d21
lji[ 267]:= 450d, 450d, 4c37, 4c2b, 4c40, 4d21
lji[ 268]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[ 269]:= 3fba, 3fba, 4c37, 4c2b, 4c40, 4d21
lji[ 270]:= 496c, 496c, 4c37, 4c2b, 4c40, 4d21
lji[ 271]:= c748, c748, 4c37, 4c2b, 4c40, 4d21
lji[ 272]:= 47e0, 47e0, 4c37, 4c2b, 4c40, 4d21
lji[ 273]:= c1f1, c1f1, 4c37, 4c2b, 4c40, 4d21
lji[ 274]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[ 275]:= 497f, 497f, 4c37, 4c2b, 4c40, 4d21
lji[ 276]:= 4bcd, 4bcd, 4c37, 4c2b, 4c40, 4d21
lji[ 277]:= 45a5, 45a5, 4c37, 4c2b, 4c40, 4d21
lji[ 278]:= 46b0, 46b0, 4c37, 4c2b, 4c40, 4d21
lji[ 279]:= 3f22, 3f22, 4c37, 4c2b, 4c40, 4d21
lji[ 280]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[ 281]:= c36e, c36e, 4c37, 4c2b, 4c40, 4d21
lji[ 282]:= 0000, 0000, 4c37, 4c2b, 4c40, 4d21
lji[ 283]:= 4a77, 4a77, 4c37, 4c2b, 4c40, 4d21
lji[ 284]:= 3d59, 3d59, 4c37, 4c2b, 4c40, 4d21
lji[ 285]:= 450d, 450d, 4c37, 4c2b, 4c40, 4d21
lji[ 286]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[ 287]:= 45f1, 45f1, 4c37, 4c2b, 4c40, 4d21
lji[ 288]:= 4559, 4559, 4c37, 4c2b, 4c40, 4d21
lji[ 289]:= c90d, c90d, 4c37, 4c2b, 4c40, 4d21
lji[ 290]:= c7e0, c7e0, 4c37, 4c2b, 4c40, 4d21
lji[ 291]:= 4a77, 4a77, 4c37, 4c2b, 4c40, 4d21
lji[ 292]:= 4b0f, 4b0f, 4c37, 4c2b, 4c40, 4d21
lji[ 293]:= bfba, bfba, 4c37, 4c2b, 4c40, 4d21
lji[ 294]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[ 295]:= c2d6, c2d6, 4c37, 4c2b, 4c40, 4d21
lji[ 296]:= 4664, 4664, 4c37, 4c2b, 4c40, 4d21
lji[ 297]:= c9b8, c9b8, 4c37, 4c2b, 4c40, 4d21
lji[ 298]:= c533, c533, 4c37, 4c2b, 4c40, 4d21
lji[ 299]:= 4794, 4794, 4c37, 4c2b, 4c40, 4d21
lji[ 300]:= 46b0, 46b0, 4c37, 4c2b, 4c40, 4d21
lji[ 301]:= 4829, 4829, 4c37, 4c2b, 4c40, 4d21
lji[ 302]:= 30c1, 30c1, 4c37, 4c2b, 4c40, 4d21
lji[ 303]:= c63e, c63e, 4c37, 4c2b, 4c40, 4d21
lji[ 304]:= 44e7, 44e7, 4c37, 4c2b, 4c40, 4d21
lji[ 305]:= c4e7, c4e7, 4c37, 4c2b, 4c40, 4d21
lji[ 306]:= 0000, 0000, 4c37, 4c2b, 4c40, 4d21
lji[ 307]:= 44c1, 44c1, 4c37, 4c2b, 4c40, 4d21
lji[ 308]:= c475, c475, 4c37, 4c2b, 4c40, 4d21
lji[ 309]:= c8d4, c8d4, 4c37, 4c2b, 4c40, 4d21
lji[ 310]:= c83c, c83c, 4c37, 4c2b, 4c40, 4d21
lji[ 311]:= c6d6, c6d6, 4c37, 4c2b, 4c40, 4d21
lji[ 312]:= 490d, 490d, 4c37, 4c2b, 4c40, 4d21
lji[ 313]:= ca51, ca51, 4c37, 4c2b, 4c40, 4d21
lji[ 314]:= b9f1, b9f1, 4c37, 4c2b, 4c40, 4d21
lji[ 315]:= 4c59, 4c59, 4c37, 4c2b, 4c40, 4d21
lji[ 316]:= bfba, bfba, 4c37, 4c2b, 4c40, 4d21
lji[ 317]:= 3c29, 3c29, 4c37, 4c2b, 4c40, 4d21
lji[ 318]:= 444f, 444f, 4c37, 4c2b, 4c40, 4d21
lji[ 319]:= c816, c816, 4c37, 4c2b, 4c40, 4d21
lji[ 320]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 321]:= be8a, be8a, 4c37, 4c2b, 4c40, 4d21
lji[ 322]:= 44c1, 44c1, 4c37, 4c2b, 4c40, 4d21
lji[ 323]:= 484f, 484f, 4c37, 4c2b, 4c40, 4d21
lji[ 324]:= 449b, 449b, 4c37, 4c2b, 4c40, 4d21
lji[ 325]:= c8c1, c8c1, 4c37, 4c2b, 4c40, 4d21
lji[ 326]:= 48ae, 48ae, 4c37, 4c2b, 4c40, 4d21
lji[ 327]:= c664, c664, 4c37, 4c2b, 4c40, 4d21
lji[ 328]:= 49f1, 49f1, 4c37, 4c2b, 4c40, 4d21
lji[ 329]:= b4c1, b4c1, 4c37, 4c2b, 4c40, 4d21
lji[ 330]:= c89b, c89b, 4c37, 4c2b, 4c40, 4d21
lji[ 331]:= c36e, c36e, 4c37, 4c2b, 4c40, 4d21
lji[ 332]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 333]:= 4618, 4618, 4c37, 4c2b, 4c40, 4d21
lji[ 334]:= 48c1, 48c1, 4c37, 4c2b, 4c40, 4d21
lji[ 335]:= 410d, 410d, 4c37, 4c2b, 4c40, 4d21
lji[ 336]:= 4559, 4559, 4c37, 4c2b, 4c40, 4d21
