lij[ 395]:= b7fd, 37fd, c7a0, 4141, c141, c3f7
lij[ 396]:= 4429, 4429, 47a0, 4141, c141, c3f7
lij[ 397]:= b5c0, bdff, 3348, 4141, c141, c3f7
lij[ 398]:= 3d51, 423b, 3dff, 4141, c141, c3f7
lij[ 399]:= 417c, c173, c5ad, 4141, c141, c3f7
lij[ 400]:= c1c9, 40db, c2ca, 4141, c141, c3f7
lij[ 401]:= c65f, 47a0, c65f, 4141, c141, c3f7
lij[ 402]:= c6b5, c50e, 452d, 4141, c141, c3f7
lij[ 403]:= 3c79, 3c70, 458b, 4141, c141, c3f7
lij[ 404]:= b6b5, 360a, c1e6, 4141, c141, c3f7
lij[ 405]:= c23b, bb33, 3a85, 4141, c141, c3f7
lij[ 406]:= c45b, c6ee, 445b, 4141, c141, c3f7
lij[ 407]:= c264, c738, 4261, 4141, c141, c3f7
lij[ 408]:= c0e0, 38c7, b803, 4141, c141, c3f7
lij[ 409]:= 3e3c, c492, be10, 4141, c141, c3f7
lij[ 410]:= 4015, c0d3, c24e, 4141, c141, c3f7
lij[ 411]:= 3993, bc62, be73, 4141, c141, c3f7
lij[ 412]:= 43e9, be8d, be37, 4141, c141, c3f7
