lji[ 291]:= 4a77, 499a, c7ac, c62c, c817, c1cd
lji[ 292]:= 4a3a, 4b88, c7ac, c62c, c817, c1cd
lji[ 293]:= c340, c0fe, c7ac, c62c, c817, c1cd
lji[ 294]:= 4bb8, 48f1, c7ac, c62c, c817, c1cd
lji[ 295]:= c464, c0df, c7ac, c62c, c817, c1cd
lji[ 296]:= 466c, 4745, c7ac, c62c, c817, c1cd
lji[ 297]:= cae6, c9e2, c7ac, c62c, c817, c1cd
lji[ 298]:= c2ea, c7a0, c7ac, c62c, c817, c1cd
lji[ 299]:= 469e, 47a6, c7ac, c62c, c817, c1cd
lji[ 300]:= 495b, 4510, c7ac, c62c, c817, c1cd
lji[ 301]:= 48c0, 48b0, c7ac, c62c, c817, c1cd
lji[ 302]:= bcf1, c1b5, c7ac, c62c, c817, c1cd
lji[ 303]:= c404, c894, c7ac, c62c, c817, c1cd
lji[ 304]:= 4616, 4720, c7ac, c62c, c817, c1cd
lji[ 305]:= c67c, c4cc, c7ac, c62c, c817, c1cd
lji[ 306]:= c63d, bc6c, c7ac, c62c, c817, c1cd
lji[ 307]:= 0000, 4272, c7ac, c62c, c817, c1cd
lji[ 308]:= c3eb, c257, c7ac, c62c, c817, c1cd
lji[ 309]:= c8a1, c8ea, c7ac, c62c, c817, c1cd
lji[ 310]:= c8db, c821, c7ac, c62c, c817, c1cd
lji[ 311]:= c79d, c6dc, c7ac, c62c, c817, c1cd
lji[ 312]:= 4939, 49a5, c7ac, c62c, c817, c1cd
lji[ 313]:= ca99, ca54, c7ac, c62c, c817, c1cd
lji[ 314]:= c0ef, bb58, c7ac, c62c, c817, c1cd
lji[ 315]:= 4be4, 4c5a, c7ac, c62c, c817, c1cd
lji[ 316]:= b474, bd8f, c7ac, c62c, c817, c1cd
lji[ 317]:= c1ae, 35e0, c7ac, c62c, c817, c1cd
lji[ 318]:= 4407, 443b, c7ac, c62c, c817, c1cd
lji[ 319]:= c43e, c800, c7ac, c62c, c817, c1cd
lji[ 320]:= 4502, 461e, c7ac, c62c, c817, c1cd
lji[ 321]:= bf5b, c17c, c7ac, c62c, c817, c1cd
lji[ 322]:= 3f68, 2b00, c7ac, c62c, c817, c1cd
lji[ 323]:= 498c, 4801, c7ac, c62c, c817, c1cd
lji[ 324]:= 471e, 45d4, c7ac, c62c, c817, c1cd
lji[ 325]:= ca0c, c838, c7ac, c62c, c817, c1cd
lji[ 326]:= 48c9, 4a5e, c7ac, c62c, c817, c1cd
lji[ 327]:= c705, c613, c7ac, c62c, c817, c1cd
lji[ 328]:= 4a7c, 49fd, c7ac, c62c, c817, c1cd
lji[ 329]:= bb1a, 3f70, c7ac, c62c, c817, c1cd
lji[ 330]:= ca08, c862, c7ac, c62c, c817, c1cd
lji[ 331]:= c210, be9c, c7ac, c62c, c817, c1cd
lji[ 332]:= 4093, 41fb, c7ac, c62c, c817, c1cd
lji[ 333]:= 45e3, 46fb, c7ac, c62c, c817, c1cd
