lij[ 215]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 216]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 217]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 218]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 219]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 220]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 221]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 222]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 223]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 224]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 225]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 226]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 227]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 228]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 229]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 230]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 231]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 232]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 233]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 234]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 235]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 236]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 237]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 238]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 239]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 240]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 241]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 242]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 243]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 244]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 245]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 246]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 247]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 248]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 249]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 250]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 251]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 252]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 253]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 254]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 255]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 256]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 257]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 258]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 259]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 260]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 261]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 262]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 263]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 264]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 265]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 266]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 267]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 268]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 269]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 270]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 271]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 272]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 273]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 274]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 275]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 276]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 277]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 278]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 279]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 280]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 281]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 282]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 283]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 284]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 285]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 286]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 287]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 288]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 289]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 290]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 291]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 292]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 293]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 294]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 295]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 296]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 297]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 298]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 299]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 300]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 301]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 302]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 303]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 304]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 305]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 306]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 307]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 308]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 309]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 310]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 311]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 312]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 313]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 314]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 315]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 316]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 317]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 318]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 319]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 320]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 321]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 322]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 323]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 324]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 325]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 326]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 327]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 328]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 329]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 330]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 331]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 332]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 333]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 334]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 335]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
