lij[ 283]:= 3e65, 3c93, 4028, 416b, c16b, c35b
lij[ 284]:= 382c, 3df3, 3747, 416b, c16b, c35b
lij[ 285]:= 4686, c6b5, c6b5, 416b, c16b, c35b
lij[ 286]:= 37a0, b84e, c192, 416b, c16b, c35b
lij[ 287]:= 47a0, c7a0, c7a0, 416b, c16b, c35b
lij[ 288]:= 3286, b480, be09, 416b, c16b, c35b
lij[ 289]:= 41b6, 421a, 43af, 416b, c16b, c35b
lij[ 290]:= c4c1, c56c, 4460, 416b, c16b, c35b
lij[ 291]:= 430e, c325, c65f, 416b, c16b, c35b
lij[ 292]:= 3a72, 3f33, 3c38, 416b, c16b, c35b
lij[ 293]:= c3af, be5f, 3e56, 416b, c16b, c35b
lij[ 294]:= bf6e, c498, 3f33, 416b, c16b, c35b
lij[ 295]:= c603, bfb4, 3fbf, 416b, c16b, c35b
lij[ 296]:= c7a0, 47a0, c7a0, 416b, c16b, c35b
lij[ 297]:= bb9a, bd45, 4009, 416b, c16b, c35b
lij[ 298]:= 3eb7, 3fad, 41ae, 416b, c16b, c35b
lij[ 299]:= 3d98, 3d98, 47a0, 416b, c16b, c35b
lij[ 300]:= c6ee, ba13, 3a13, 416b, c16b, c35b
lij[ 301]:= c199, c34c, 4247, 416b, c16b, c35b
lij[ 302]:= 4686, c2c2, c2d2, 416b, c16b, c35b
lij[ 303]:= be5c, c50e, 3e78, 416b, c16b, c35b
lij[ 304]:= c7a0, c36b, 436b, 416b, c16b, c35b
lij[ 305]:= c65f, 46b5, c6ee, 416b, c16b, c35b
lij[ 306]:= 375d, c7a0, b75d, 416b, c16b, c35b
lij[ 307]:= 3cb4, bd55, c1e3, 416b, c16b, c35b
lij[ 308]:= c65f, c63d, 4738, 416b, c16b, c35b
lij[ 309]:= 422f, b838, b8a4, 416b, c16b, c35b
lij[ 310]:= 40c1, 47a0, 40c1, 416b, c16b, c35b
lij[ 311]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 312]:= c2be, c6ee, 42b6, 416b, c16b, c35b
lij[ 313]:= c545, 3f31, bf17, 416b, c16b, c35b
lij[ 314]:= 4360, c2ce, c4ba, 416b, c16b, c35b
lij[ 315]:= c254, 4329, c180, 416b, c16b, c35b
lij[ 316]:= 373f, c4d0, b75d, 416b, c16b, c35b
lij[ 317]:= 3ec1, 4415, 3f1d, 416b, c16b, c35b
lij[ 318]:= 3ccc, 3c6c, 42ca, 416b, c16b, c35b
lij[ 319]:= c342, c7a0, 4342, 416b, c16b, c35b
lij[ 320]:= b8ea, 3072, a960, 416b, c16b, c35b
lij[ 321]:= bf46, ba6f, 3cb7, 416b, c16b, c35b
lij[ 322]:= c235, c241, 461e, 416b, c16b, c35b
lij[ 323]:= 3ffe, 3f74, 4220, 416b, c16b, c35b
lij[ 324]:= c14f, 414f, c7a0, 416b, c16b, c35b
lij[ 325]:= bd6e, bdff, 3a53, 416b, c16b, c35b
lij[ 326]:= c4b3, 44e0, c63d, 416b, c16b, c35b
lij[ 327]:= c402, c7a0, 4402, 416b, c16b, c35b
lij[ 328]:= c65f, 46ee, c6b5, 416b, c16b, c35b
lij[ 329]:= c1ba, 4522, c1ba, 416b, c16b, c35b
lij[ 330]:= 42fc, c686, c2eb, 416b, c16b, c35b
lij[ 331]:= 3f2d, b8ec, baf9, 416b, c16b, c35b
lij[ 332]:= c58b, 463d, c539, 416b, c16b, c35b
lij[ 333]:= b3a9, c6b5, 33a9, 416b, c16b, c35b
lij[ 334]:= bce2, c3e9, 3d1d, 416b, c16b, c35b
lij[ 335]:= c07a, b9e9, 38b6, 416b, c16b, c35b
lij[ 336]:= c1d6, c480, 4244, 416b, c16b, c35b
lij[ 337]:= c2a0, c49e, 4338, 416b, c16b, c35b
lij[ 338]:= 39e5, 39e9, 4603, 416b, c16b, c35b
lij[ 339]:= c1de, c1b3, 4347, 416b, c16b, c35b
lij[ 340]:= 46b5, c351, c360, 416b, c16b, c35b
lij[ 341]:= 45d4, c7a0, c5d4, 416b, c16b, c35b
lij[ 342]:= 44d0, c5ad, c480, 416b, c16b, c35b
lij[ 343]:= c43e, c56c, 43fe, 416b, c16b, c35b
lij[ 344]:= b4cd, c7a0, 34cd, 416b, c16b, c35b
lij[ 345]:= 47a0, c3bc, c3bc, 416b, c16b, c35b
lij[ 346]:= c283, 45eb, c2a0, 416b, c16b, c35b
lij[ 347]:= 445b, 40b7, 407a, 416b, c16b, c35b
lij[ 348]:= b827, 381f, c52d, 416b, c16b, c35b
lij[ 349]:= 45c0, c6ee, c5eb, 416b, c16b, c35b
lij[ 350]:= bfa5, baad, 3cb4, 416b, c16b, c35b
lij[ 351]:= 47a0, c504, c504, 416b, c16b, c35b
lij[ 352]:= c312, 4312, c7a0, 416b, c16b, c35b
lij[ 353]:= 387d, c0b1, b7d7, 416b, c16b, c35b
lij[ 354]:= b358, bc38, 37a4, 416b, c16b, c35b
lij[ 355]:= c411, 47a0, c411, 416b, c16b, c35b
lij[ 356]:= c0f3, c0f3, 47a0, 416b, c16b, c35b
lij[ 357]:= 3029, b0fb, c047, 416b, c16b, c35b
lij[ 358]:= afb2, aef2, 41e8, 416b, c16b, c35b
lij[ 359]:= 44b3, c686, c4d0, 416b, c16b, c35b
lij[ 360]:= c247, c43a, 4312, 416b, c16b, c35b
lij[ 361]:= 4275, 4686, 4283, 416b, c16b, c35b
lij[ 362]:= 4206, 4545, 41d9, 416b, c16b, c35b
lij[ 363]:= c738, c7a0, 4738, 416b, c16b, c35b
lij[ 364]:= 43c2, 44b3, 446a, 416b, c16b, c35b
lij[ 365]:= 3ca2, bc2c, c244, 416b, c16b, c35b
lij[ 366]:= c001, 4009, c603, 416b, c16b, c35b
lij[ 367]:= c56c, 413d, c15a, 416b, c16b, c35b
lij[ 368]:= 4545, 4287, 42ca, 416b, c16b, c35b
lij[ 369]:= 46ee, 4028, 4026, 416b, c16b, c35b
lij[ 370]:= 3998, 3995, 465f, 416b, c16b, c35b
lij[ 371]:= ab40, 2e61, bd32, 416b, c16b, c35b
lij[ 372]:= 47a0, c7a0, c7a0, 416b, c16b, c35b
lij[ 373]:= 459b, c5eb, c603, 416b, c16b, c35b
lij[ 374]:= 3a8c, 3a8c, 4603, 416b, c16b, c35b
lij[ 375]:= 3c60, c19e, bc1c, 416b, c16b, c35b
lij[ 376]:= c36b, 4283, c3a9, 416b, c16b, c35b
lij[ 377]:= 3d32, 3c40, 4108, 416b, c16b, c35b
lij[ 378]:= bcd4, 456c, bcdf, 416b, c16b, c35b
lij[ 379]:= c447, 4447, c7a0, 416b, c16b, c35b
lij[ 380]:= c180, ba09, 3954, 416b, c16b, c35b
lij[ 381]:= c738, c7a0, 4738, 416b, c16b, c35b
lij[ 382]:= b7ad, c447, 3776, 416b, c16b, c35b
lij[ 383]:= c7a0, 47a0, c7a0, 416b, c16b, c35b
lij[ 384]:= 3021, 384a, 3758, 416b, c16b, c35b
lij[ 385]:= 4451, 431b, 425e, 416b, c16b, c35b
lij[ 386]:= 44d8, c309, c2b3, 416b, c16b, c35b
lij[ 387]:= 4214, 46b5, 421d, 416b, c16b, c35b
lij[ 388]:= b8cb, 3c29, b47b, 416b, c16b, c35b
lij[ 389]:= 4047, 4460, 4077, 416b, c16b, c35b
lij[ 390]:= bbff, 3bac, c402, 416b, c16b, c35b
lij[ 391]:= 441d, 441d, 47a0, 416b, c16b, c35b
lij[ 392]:= c36b, c36b, 47a0, 416b, c16b, c35b
lij[ 393]:= 47a0, c425, c425, 416b, c16b, c35b
lij[ 394]:= b9f7, baa6, 4110, 416b, c16b, c35b
lij[ 395]:= 455e, c55e, c7a0, 416b, c16b, c35b
